# Convergence Analysis - Binomial with Black-Scholes
# Generated: 2025-11-16 02:35:20
"# Parameters: S0=150, K=140, T=0.5, r=0.04, sigma=0.25, option_type=call"

steps,binomial_prices,bs_prices,error,relative_error
74,17.774136760381754,17.752141494801037,0.02199526558071696,0.0012390204070398256
75,17.757035421200715,17.752141494801037,0.004893926399677895,0.0002756809031243441
76,17.771601077065444,17.752141494801037,0.019459582264406805,0.0010961822420188468
77,17.759999635227377,17.752141494801037,0.007858140426339588,0.0004426587309841438
78,17.768982284757847,17.752141494801037,0.016840789956809488,0.0009486624451332561
79,17.762568597514036,17.752141494801037,0.010427102712998959,0.0005873715414026348
80,17.766294010127204,17.752141494801037,0.014152515326166792,0.0007972286233923695
81,17.764778903973383,17.752141494801037,0.01263740917234557,0.0007118808272256399
82,17.76354814130034,17.752141494801037,0.011406646499303008,0.000642550449625675
83,17.766663299347027,17.752141494801037,0.01452180454598917,0.0008180311400876386
84,17.7607550651816,17.752141494801037,0.008613570380560986,0.0004852130309508625
